"current_region","gender","first_language","heritage_country","workerid","education","asses","exposure","race","comments","parent_languages","other_regions","age","other_languages","speaker_cond"
"Dallas, TX","Male","English","",0,"Graduated college","Yes","Daily","Hispanic or Latinx, 
","","Spanish","San Francisco, CA, Mexico City",36,"Spanish","2_CE"
"UNITED STATE","","ENGLISH","",1,"Graduated college","","Weekly","White or Caucasian, 
","GOOD STUDY","ENGLISH","ALABAMA",31,"ENGLISH","2_CE"
"detroit, mi","Male","english","usa",2,"Hold a higher degree","Yes","Yearly","White or Caucasian, 
","Context helps a lot in determining what people say.","english","none",49,"none","2_CE"
"Lamar, SC","Female","English","USA",3,"Graduated college","Yes","Prefer not to say","White or Caucasian, 
","no","English","",34,"","2_CE"
"PROCIOUS","Female","English","USA",4,"Graduated high school","Yes","Monthly","Native American or Alaskan Native, 
","","English","West Virginia",42,"French","2_CE"
"Petoskey MI","Male","English","USA",5,"Graduated college","Yes","Yearly","White or Caucasian, 
","","English","",44,"","2_CE"
"Fort Myers, FL","Female","English","England",6,"Graduated college","Yes","Yearly","White or Caucasian, 
","","English","Charlotte, NC",31,"","2_CE"
"MOUNT VERNON WA","Male","ENGLISH","USA",7,"Graduated college","Yes","Prefer not to say","White or Caucasian, 
","","ENGLISH","",47,"","2_CE"
"STAMFORD","Female","English","USA",8,"Graduated college","Yes","Prefer not to say","White or Caucasian, 
","Good","English","Connecticut",25,"English","2_CE"
"Richmond, Virginia","Male","English","United States",9,"","Yes","Daily","White or Caucasian, 
","","English","",31,"","2_CE"
"Brooklyn, NY","Male","Chinese","China",10,"Graduated college","Yes","Prefer not to say"," Asian or Pacific Islander, 
","","Chinese","",28,"English","2_CE"
"Spartanburg, SC","Female","English","USA",11,"Graduated college","Yes","Monthly","White or Caucasian, 
","none","English","Pittsburgh, PA Lexington, KY",45,"","2_CE"
"california","","English","califorina",12,"Hold a higher degree","","Prefer not to say","White or Caucasian, 
","nil","english","usa",NA,"hini","2_CE"
"Birmingham, AL","Male","English","Italy, Germany",13,"Graduated college","Yes","Daily","White or Caucasian, 
","This was more challenging than I expected. Words stopped sounding like words after a while!","English","",33,"","2_CE"
"Norwalk,Connecticut","","English","United States",14,"","","Yearly","White or Caucasian, 
","nice study","English","none",NA,"none","2_CE"
"Napa, CA","Female","English","United States",15,"Graduated college","Yes","Monthly","White or Caucasian, 
","None","English","",42,"","2_CE"
"Rockville, MD","Male","English","USA",16,"Hold a higher degree","Yes","Daily","White or Caucasian, 
","Some of the words sounded like english words based on the pronuniciation.","English","",45,"","2_CE"
"DAVISBURG","","english","na",17,"Graduated college","","Prefer not to say","[]","","english","MI",45,"","2_CE"
"stamford","Female","english","USA",18,"Graduated college","Yes","Prefer not to say","White or Caucasian, 
","nice","English","United states",25,"no","2_CE"
"Port St Lucie","Male","English","Europe",19,"Graduated college","Yes","Daily","White or Caucasian, 
","thank you!","English","New York City",41,"none","2_CE"
"miami, fl","Male","english","usa",20,"Graduated college","Yes","Daily","Black or African American, 
","","english","",34,"","2_CE"
"millinocket, maine","","english","us",21,"Hold a higher degree","","Yearly","White or Caucasian, 
","","english","",NA,"","2_CE"
"Portland,Oregon","Female","English","United States",22,"Graduated college","Yes","Monthly","White or Caucasian, 
","No negative comments","English","",40,"","2_CE"
"WATERTOWN,NEWYORK","Male","ENGLISH","AMERICA",23,"Graduated college","Yes","Prefer not to say","White or Caucasian, 
","IT IS INTERESTING I ENJOY THE TASK.","ENGLISH","FLORIDA",40,"N/A","2_CE"
"Houston, Texas","Male","English","Pakistan",24,"Graduated college","Yes","Weekly"," Asian or Pacific Islander, 
","","Urdu","",32,"","2_CE"
"mansfisco","Female","English","usa",25,"Hold a higher degree","Yes","Yearly","Black or African American, 
","the experiment is very nice","English","ohio",37,"no","2_CE"
"Lexington, KY","Female","English","United States",26,"Some college","Yes","Monthly","White or Caucasian, 
","","English","Nicholasville, KY",39,"None","2_CE"
"Medford, NJ","Female","English","Germany, Ireland ",27,"Graduated college","Yes","Daily","White or Caucasian, 
","None","English","",38,"","2_CE"
"fort worth, texas","Male","english","usa",28,"Some college","Yes","Monthly","White or Caucasian, 
","","english","",53,"","2_CE"
"Rome, GA","Female","English","USA",29,"Graduated high school","Yes","Yearly","White or Caucasian, 
","","English","",34,"","2_CE"
"cedar grove, New Jersey","Female","english","USA",30,"Graduated college","Yes","Monthly","White or Caucasian, 
","","english","",38,"","2_CE"
"New Haven CT","Male","English","USA",31,"Graduated college","Yes","Daily","Black or African American, 
","","English ","NY",30,"none","2_CE"
"Oklahoma City, OK","Female","English","United States",32,"Some college","Yes","Monthly","White or Caucasian, 
","","English","",23,"","2_CE"
"Tempe,Arizona","Male","English","American",33,"Graduated college","Yes","Daily","White or Caucasian, 
","","English","",32,"","2_CE"
"des plaines illinios","Female","english","no",34,"Graduated high school","Yes","Monthly","White or Caucasian, 
","","english","",35,"","2_CE"
"AZ","Female","English","USA",35,"Graduated college","Yes","Prefer not to say","Native American or Alaskan Native, 
","good","English","-",57,"-","2_CE"
"New York","Male","English","Trinidad and Tobago",36,"Graduated high school","Yes","Prefer not to say","Black or African American, 
","","English","New York",39,"N/A","2_CE"
"Canonsburg, PA","Female","English","American",37,"Some college","Yes","Monthly","White or Caucasian, 
","At one point I sneezed and before I could press a button, it continued on, which I didn't think was going to happen.","English","Johnstown, PA",37,"b/a","2_CE"
"Bristol, TN","Male","english","Ger",38,"Graduated college","Yes","Daily","White or Caucasian, 
","","english","too many",46,"n/a","2_CE"
"fairfax, virginia","Female","english","usa",39,"Graduated college","Yes","Yearly"," Asian or Pacific Islander, 
","","english","",34,"","2_CE"
"Macon, GA","Female","English","United States",40,"Graduated college","Yes","Yearly","White or Caucasian, 
","Thank you.","English","Gainesville, FL",58,"","2_CE"
"New Jersey","Male","English","USA",41,"","Yes","Daily","[]","","English","California ",66,"None","2_CE"
"Greenville, MI","Male","English","USA",42,"","Yes","Monthly","White or Caucasian, 
","","English","",41,"","2_CE"
"St. Petersburg, Florida","Female","English","Germany, USA",43,"Graduated college","Yes","Monthly","White or Caucasian, 
","","English, German","New Haven, Conn.",65,"German","2_CE"
