id,partitive,strengthSome,subjecthood,infoStatus,logSentenceLength
176651:43,yes,5.7,0,new,2.63905732961526
108182:30,no,5.4,0,med,2.56494935746154
20718:26,no,6.4,0,new,2.89037175789616
18335:127,no,5,0,med,3.43398720448515
88808:43,no,5.9,0,med,2.70805020110221
148561:14,no,4.8,1,med,1.6094379124341
176908:22,no,6.5,0,new,2.484906649788
34501:47,no,6.3,0,med,3.17805383034795
1686:32,no,6.3,0,new,2.30258509299405
9196:49,yes,5.4,0,med,2.99573227355399
24580:124,no,4.8,1,med,3.52636052461616
68658:113,no,5.4,0,med,3.43398720448515
16209:29,no,5.5,0,new,2.39789527279837
112844:32,no,6.4,0,med,2.89037175789616
99256:38,yes,5.5,0,med,3.09104245335832
89238:15,no,6.4,0,new,1.94591014905531
86088:57,yes,5.9,0,med,3.76120011569356
112290:7,yes,4.5,1,old,1.38629436111989
145433:59,no,6.3,0,med,2.89037175789616
77398:5,yes,5.1,1,med,3.36729582998647
102781:19,no,6.8,0,new,2.19722457733622
80692:12,no,5.7,0,new,2.07944154167984
4490:19,no,6.4,0,med,2.77258872223978
176346:41,no,6.9,0,med,2.56494935746154
163367:85,no,6.3,0,new,3.43398720448515
134426:32,no,6.4,0,med,2.94443897916644
53223:87,no,6.3,0,med,3.2188758248682
36420:35,yes,4,0,med,2.56494935746154
95199:151,no,6.1,0,med,3.76120011569356
114255:29,no,6.6,0,new,1.94591014905531
140052:14,no,6.9,0,new,1.79175946922805
155121:37,no,6.4,0,new,2.89037175789616
56319:15,no,6.4,0,med,2.19722457733622
120254:15,no,6.1,0,med,2.63905732961526
99947:44,no,5.7,0,new,2.56494935746154
103563:4,no,4.6,1,med,2.89037175789616
35674:45,no,6.5,0,med,3.61091791264422
140964:11,no,6.5,0,new,1.79175946922805
47593:18,no,6.4,0,med,1.94591014905531
54511:40,no,6.4,0,new,2.19722457733622
38844:23,no,5.5,0,new,2.39789527279837
72387:13,yes,6.2,0,new,3.04452243772342
15535:31,no,6.3,0,new,2.39789527279837
91704:14,no,6.4,0,new,3.36729582998647
29385:35,no,6.3,0,med,2.39789527279837
165513:41,yes,4.8,0,new,3.13549421592915
5156:27,no,6.4,0,new,2.83321334405622
71923:26,no,6,0,new,2.30258509299405
1177:17,yes,4.4,0,old,1.79175946922805
109067:60,no,6.3,0,new,2.94443897916644
8885:15,yes,5.9,0,med,2.56494935746154
102431:45,no,6.4,0,med,3.8286413964891
57403:47,no,6.7,0,med,2.70805020110221
88674:10,no,5.2,0,new,2.484906649788
